eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
113,113,1377,11,14,0,0,0.0,0.0,15.899,38.675,38.675,38.675,38.675,10.0,10.0,5.33,5.33,5.33
114,114,1383,7,24,20,0,0.0,0.0,10.33,44.801,44.801,44.801,44.801,10.0,10.0,3.93,3.93,3.93
115,115,1383,8,4,0,0,0.0,0.0,12.04,44.222,44.222,44.222,44.222,10.0,10.0,5.33,5.33,5.33
116,116,1384,2,4,5,5,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.16,4.16,4.16
117,117,1384,2,4,17,10,0.0,0.0,11.257,43.773,43.773,43.773,43.773,10.0,10.0,4.16,4.16,4.16
118,118,1384,10,22,0,0,0.0,0.0,13.703,42.659,42.659,42.659,42.659,10.0,10.0,5.1,5.1,5.1
119,119,1386,3,17,0,0,0.0,0.0,14.25,40.849,40.849,40.849,40.849,10.0,10.0,3.75,3.75,3.75
120,120,1389,4,1,0,0,0.0,0.0,13.018,43.837,43.837,43.837,43.837,10.0,10.0,5.1,5.1,5.1
121,121,1389,8,20,13,0,0.0,0.0,13.197,46.406,46.406,46.406,46.406,10.0,10.0,4.86,4.86,4.86
122,122,1389,10,18,0,0,0.0,0.0,12.299,43.527,43.527,43.527,43.527,10.0,10.0,6.03,6.03,6.03
123,123,1392,1,28,0,30,0.0,0.0,12.218,46.139,46.139,46.139,46.139,10.0,10.0,3.93,3.93,3.93
124,124,1393,6,15,0,0,0.0,0.0,11.912,43.996,43.996,43.996,43.996,10.0,10.0,5.1,5.1,5.1
125,125,1396,11,26,0,0,0.0,0.0,9.274,45.584,45.584,45.584,45.584,10.0,10.0,5.33,5.33,5.33
126,126,1398,4,3,0,0,0.0,0.0,13.399,42.351,42.351,42.351,42.351,10.0,10.0,4.63,4.63,4.63
127,127,1399,7,20,23,0,0.0,0.0,10.925,44.441,44.441,44.441,44.441,10.0,10.0,5.1,5.1,5.1
128,128,1400,2,29,19,15,0.0,0.0,11.343,44.494,44.494,44.494,44.494,10.0,10.0,4.16,4.16,4.16
129,129,1400,3,3,12,15,0.0,0.0,11.343,44.494,44.494,44.494,44.494,10.0,10.0,4.16,4.16,4.16
130,130,1401,6,29,9,0,0.0,0.0,12.218,46.139,46.139,46.139,46.139,10.0,10.0,4.16,4.16,4.16
131,131,1402,1,1,0,0,0.0,0.0,10.994,45.439,45.439,45.439,45.439,10.0,10.0,4.63,4.63,4.63
132,132,1403,1,12,5,30,0.0,0.0,12.218,46.139,46.139,46.139,46.139,10.0,10.0,4.63,4.63,4.63
133,133,1403,9,6,0,0,0.0,0.0,13.431,46.093,46.093,46.093,46.093,10.0,10.0,5.56,5.56,5.56
134,134,1404,2,1,21,0,0.0,0.0,12.218,46.139,46.139,46.139,46.139,10.0,10.0,4.16,4.16,4.16
135,135,1405,6,26,13,45,0.0,0.0,11.906,46.019,46.019,46.019,46.019,10.0,10.0,3.93,3.93,3.93
136,136,1406,5,28,21,30,0.0,0.0,12.218,46.139,46.139,46.139,46.139,10.0,10.0,3.93,3.93,3.93
137,137,1406,9,16,0,0,0.0,0.0,14.25,40.849,40.849,40.849,40.849,10.0,10.0,3.12,3.12,3.12
138,138,1408,1,3,16,30,0.0,0.0,11.343,44.494,44.494,44.494,44.494,10.0,10.0,3.7,3.7,3.7
139,139,1409,8,17,0,35,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,4.63,4.63,4.63
140,140,1409,11,15,11,15,0.0,0.0,10.33,44.801,44.801,44.801,44.801,10.0,10.0,5.1,5.1,5.1
141,141,1410,5,9,22,30,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,4.86,4.86,4.86
142,142,1410,6,10,21,0,0.0,0.0,,,,,,10.0,10.0,,,
143,143,1411,1,9,2,0,0.0,0.0,11.62,44.835,44.835,44.835,44.835,10.0,10.0,5.1,5.1,5.1
144,144,1411,7,1,6,0,0.0,0.0,12.218,46.139,46.139,46.139,46.139,10.0,10.0,3.93,3.93,3.93
145,145,1414,8,7,0,0,0.0,0.0,11.121,43.27,43.27,43.27,43.27,10.0,10.0,5.7,5.7,5.7
